roll	common_m	common_f	neutral	elven	dwarven	halfling
1	Ajax	Andrea	Ace	Aegor	Amanita	Avish
2	Boroshka	Brianne	Brand	Cadriel	Diggin	Baker
3	Eckel	Cass	Briar	Dwire	Freya	Bo
4	Florian	Delphi	Carver	Elsivere	Gondor	Cadmus
5	Griff	Edna	Clip	Fallan	Grolf	Emory
6	Habib	Guari	Dill	Hycorax	Harber	Ford
7	Harrie	Junyi	Feldspar	Ivet	Janus	Gladys
8	Jamal	Kam	Harper	Jahir'ren	Kaska	Griffo
9	Lane	Loureline	Jay	Kelsinor	Koebel	Hob
10	Malik	Mabel	Joker	Lierenwal	Moji	Hojiro
11	Morgan	Onnette	Myrtle	Melliandre	Nadja	Ida
12	Nilton	Priscilla	Oak	Nym	Orin	Iver
13	Rajul	Qui	Opal	Pendrell	Puck	Keiko
14	Samuel	Rhea	Quill	Qoir	Rundrig	Lana
15	Shen	Sahar	Silver	Selene	Rygar	Lumply
16	Thadeus	Shuri	Timber	Strix	Stras	Rosco
17	Urso	Tandy	Violet	Throndir	Tholga	Sakura
18	Xayir	Val	Wick	U'ura	Titania	Sorrel
19	Yorick	Wei	Winter	Valindarae	Willamette	Wigle
20	Zaim	Zilda	Zip	Zanne	Xoto	Xylas
